R 01001100110101001110001010010011    R 01001100110101001110001110010011    R 01001100110101001110010010010011    R 01001100110101001110010110010011
R 01001100110101001110001010010100    R 01001100110101001110001110010100    R 01001100110101001110010010010100    R 01001100110101001110010110010100
R 01001100110101001110001010010101    R 01001100110101001110001110010101    R 01001100110101001110010010010101    R 01001100110101001110010110010101
R 01001100110101001110001010010110    R 01001100110101001110001110010110    R 01001100110101001110010010010110    R 01001100110101001110010110010110
R 01001100110101001110001010010111    R 01001100110101001110001110010111    R 01001100110101001110010010010111    R 01001100110101001110010110010111
R 01001100110101001110001010011000    R 01001100110101001110001110011000    R 01001100110101001110010010011000    R 01001100110101001110010110011000
R 01001100110101001110001010011001    R 01001100110101001110001110011001    R 01001100110101001110010010011001    R 01001100110101001110010110011001
R 01001100110101001110001010011010    R 01001100110101001110001110011010    R 01001100110101001110010010011010    R 01001100110101001110010110011010
R 01001100110101001110001010011011    R 01001100110101001110001110011011    R 01001100110101001110010010011011    R 01001100110101001110010110011011
R 01001100110101001110001010011100    R 01001100110101001110001110011100    R 01001100110101001110010010011100    R 01001100110101001110010110011100
R 01001100110101001110001010011101    R 01001100110101001110001110011101    R 01001100110101001110010010011101    R 01001100110101001110010110011101
R 01001100110101001110001010011110    R 01001100110101001110001110011110    R 01001100110101001110010010011110    R 01001100110101001110010110011110
R 01001100110101001110001010011111    R 01001100110101001110001110011111    R 01001100110101001110010010011111    R 01001100110101001110010110011111
R 01001100110101001110001010100000    R 01001100110101001110001110100000    R 01001100110101001110010010100000    R 01001100110101001110010110100000
R 01001100110101001110001010100001    R 01001100110101001110001110100001    R 01001100110101001110010010100001    R 01001100110101001110010110100001
R 01001100110101001110001010100010    R 01001100110101001110001110100010    R 01001100110101001110010010100010    R 01001100110101001110010110100010
R 01001100110101001110001010100011    R 01001100110101001110001110100011    R 01001100110101001110010010100011    R 01001100110101001110010110100011
R 01001100110101001110001010100100    R 01001100110101001110001110100100    R 01001100110101001110010010100100    R 01001100110101001110010110100100
R 01001100110101001110001010100101    R 01001100110101001110001110100101    R 01001100110101001110010010100101    R 01001100110101001110010110100101
R 01001100110101001110001010100110    R 01001100110101001110001110100110    R 01001100110101001110010010100110    R 01001100110101001110010110100110
R 01001100110101001110001010100111    R 01001100110101001110001110100111    R 01001100110101001110010010100111    R 01001100110101001110010110100111
R 01001100110101001110001010101000    R 01001100110101001110001110101000    R 01001100110101001110010010101000    R 01001100110101001110010110101000
R 01001100110101001110001010101001    R 01001100110101001110001110101001    R 01001100110101001110010010101001    R 01001100110101001110010110101001
R 01001100110101001110001010101010    R 01001100110101001110001110101010    R 01001100110101001110010010101010    R 01001100110101001110010110101010
R 01001100110101001110001010101011    R 01001100110101001110001110101011    R 01001100110101001110010010101011    R 01001100110101001110010110101011
R 01001100110101001110001010101100    R 01001100110101001110001110101100    R 01001100110101001110010010101100    R 01001100110101001110010110101100
R 01001100110101001110001010101101    R 01001100110101001110001110101101    R 01001100110101001110010010101101    R 01001100110101001110010110101101
R 01001100110101001110001010101110    R 01001100110101001110001110101110    R 01001100110101001110010010101110    R 01001100110101001110010110101110
R 01001100110101001110001010101111    R 01001100110101001110001110101111    R 01001100110101001110010010101111    R 01001100110101001110010110101111
R 01001100110101001110001010110000    R 01001100110101001110001110110000    R 01001100110101001110010010110000    R 01001100110101001110010110110000
R 01001100110101001110001010110001    R 01001100110101001110001110110001    R 01001100110101001110010010110001    R 01001100110101001110010110110001
R 01001100110101001110001010110010    R 01001100110101001110001110110010    R 01001100110101001110010010110010    R 01001100110101001110010110110010
R 01001100110101001110001010110011    R 01001100110101001110001110110011    R 01001100110101001110010010110011    R 01001100110101001110010110110011
R 01001100110101001110001010110100    R 01001100110101001110001110110100    R 01001100110101001110010010110100    R 01001100110101001110010110110100
R 01001100110101001110001010110101    R 01001100110101001110001110110101    R 01001100110101001110010010110101    R 01001100110101001110010110110101
R 01001100110101001110001010110110    R 01001100110101001110001110110110    R 01001100110101001110010010110110    R 01001100110101001110010110110110
